country,isocode,subregion,year,region,pib_per_capita,indice_gini,tasa_desempleo_joven,tasa_homicidio,dummy_outlier_tasa_homicidio,dummy_outlier_pib_per_capita,dummy_outlier_tasa_desempleo_joven,dummy_outlier_indice_gini
Estonia,EST,Northern Europe,2020,Europe,40672.1340402132,30.7,18.417,3.1586797,0,0,0,0
Estonia,EST,Northern Europe,2015,Europe,29720.5911161676,32.7,14.342,3.423157,0,0,0,0
Estonia,EST,Northern Europe,2010,Europe,21616.7122418461,32,32.938,5.257432,0,0,0,0
Eswatini,SWZ,Sub-Saharan Africa,2020,Africa,9297.5881020884,41.5,58.728,8.686621,0,0,1,0
Eswatini,SWZ,Sub-Saharan Africa,2015,Africa,8393.35393669388,43.6,48.094,9.800383,0,0,0,0
Eswatini,SWZ,Sub-Saharan Africa,2010,Africa,7230.86004359533,42.4,54.314,18.710926,0,0,1,0
Ethiopia,ETH,Sub-Saharan Africa,2020,Africa,2406.78938478669,37.4,6.359,4.063206,0,0,0,0
Ethiopia,ETH,Sub-Saharan Africa,2015,Africa,1632.61818006837,35,3.811,4.1728597,0,0,0,0
Ethiopia,ETH,Sub-Saharan Africa,2010,Africa,995.65397860146,33.2,3.44,3.3002937,0,0,0,0
Faroe Islands,FRO,Northern Europe,2020,Europe,61648.5056152701,25.9,26.766,1.0499917,0,0,0,0
Faroe Islands,FRO,Northern Europe,2015,Europe,53682.1715306081,36,17.152,0.72984886,0,0,0,0
Faroe Islands,FRO,Northern Europe,2010,Europe,39766.5911029215,28.2,16.925,0.70933527,0,0,0,0
Fiji,FJI,Melanesia,2020,Oceania,11235.2760396525,29,17.142,2.950939,0,0,0,0
Fiji,FJI,Melanesia,2015,Oceania,11733.7429205049,29,14.638,2.4675133,0,0,0,0
Fiji,FJI,Melanesia,2010,Oceania,7476.10752715045,38.2,13.059,2.1967907,0,0,0,0
Finland,FIN,Northern Europe,2020,Europe,53296.5792798852,27.1,21.193,1.7541918,0,0,0,0
Finland,FIN,Northern Europe,2015,Europe,42269.2212218196,27.1,22.304,1.4964275,0,0,0,0
Finland,FIN,Northern Europe,2010,Europe,38950.5525874191,27.7,21.288,2.2001173,0,0,0,0
France,FRA,Western Europe,2020,Europe,49481.8044309655,30.7,20.398,1.0499917,0,0,0,0
France,FRA,Western Europe,2015,Europe,40916.10535718,32.7,25.262,1.5589297,0,0,0,0
France,FRA,Western Europe,2010,Europe,35911.5438581409,33.7,23.592,1.2551768,0,0,0,0
French Polynesia,PYF,Polynesia,2020,Oceania,30778.3127370297,35.8,41.36,0.9350856,0,0,0,0
French Polynesia,PYF,Polynesia,2015,Oceania,2721.34184517493,35.3,35.564,5.9192696,0,0,0,0
French Polynesia,PYF,Polynesia,2010,Oceania,2911.8920318969,30,35.127,0.8843786,0,0,0,0
Gabon,GAB,Sub-Saharan Africa,2020,Africa,14477.1308291818,43,39.777,1.2623929,0,0,0,0
Gabon,GAB,Sub-Saharan Africa,2015,Africa,14306.4340768252,47.6,35.907,4.3655767,0,0,0,0
Gabon,GAB,Sub-Saharan Africa,2010,Africa,14014.6905491122,47.6,35.935,3.7362838,0,0,0,0
"Gambia, The",GMB,Sub-Saharan Africa,2020,Africa,2530.80414937307,38.8,10.283,4.7998877,0,0,0,0
"Gambia, The",GMB,Sub-Saharan Africa,2015,Africa,1990.31625750973,35.9,11.079,2.0960221,0,0,0,0
"Gambia, The",GMB,Sub-Saharan Africa,2010,Africa,2266.82898238442,43.6,14.218,3.5072424,0,0,0,0
Georgia,GEO,Western Asia,2020,Asia,16791.2598654465,34.5,30.852,0.89891577,0,0,0,0
Georgia,GEO,Western Asia,2015,Asia,12269.6528932768,36.5,36.483,0.7570483,0,0,0,0
Georgia,GEO,Western Asia,2010,Asia,7711.80683889487,39.5,41.26,4.7998877,0,0,0,0
Germany,DEU,Western Europe,2020,Europe,58685.872699771,32.4,7.862,0.9350856,0,0,0,0
Germany,DEU,Western Europe,2015,Europe,48558.4432970969,31.7,7.328,0.8309215,0,0,0,0
Germany,DEU,Western Europe,2010,Europe,39730.4897885271,30.2,10.416,0.98106015,0,0,0,0
Ghana,GHA,Sub-Saharan Africa,2020,Africa,6047.30111673554,37.4,6.399,1.7404771,0,0,0,0
Ghana,GHA,Sub-Saharan Africa,2015,Africa,5191.37053389659,35,14.238,1.829519,0,0,0,0
Ghana,GHA,Sub-Saharan Africa,2010,Africa,3855.46891716757,35,11.103,1.6565263,0,0,0,0
Gibraltar,GIB,Southern Europe,2020,Europe,11747.318031542,37.1,38.312,0.74654263,0,0,0,0
Gibraltar,GIB,Southern Europe,2015,Europe,66118.6545207023,26.8,12.678,0.6079229,0,0,0,0
Gibraltar,GIB,Southern Europe,2010,Europe,41262.7276941725,30.3,34.978,3.2002048,0,0,0,0
Greece,GRC,Southern Europe,2020,Europe,29533.087740299,33.6,33.74,0.72901493,0,0,0,0
Greece,GRC,Southern Europe,2015,Europe,26614.8483754225,36,49.731,0.8594477,0,0,0,0
Greece,GRC,Southern Europe,2010,Europe,27841.8591363591,34.1,33.005,1.5820694,0,0,0,0
Greenland,GRL,Northern America,2020,Americas,64999.4435683064,31.8,13.872,5.756139,0,0,0,0
Greenland,GRL,Northern America,2015,Americas,55815.6502883612,54.9,36.216,7.1401796,0,0,0,0
Greenland,GRL,Northern America,2010,Americas,50190.8817880429,43.6,41.231,19.429651,0,0,0,0
Grenada,GRD,Latin America and the Caribbean,2020,Americas,14361.1267154452,40.6,10.831,12.033591,0,0,0,0
Grenada,GRD,Latin America and the Caribbean,2015,Americas,13214.4096644941,44.5,34.625,5.2321324,0,0,0,0
Grenada,GRD,Latin America and the Caribbean,2010,Americas,10344.3839189192,49.2,13.331,8.961698,0,0,0,0
Guam,GUM,Micronesia,2020,Oceania,31930.763671875,39.7,15.446,0.576286,0,0,0,0
Guam,GUM,Micronesia,2015,Oceania,3157.30009311643,29,16.393,1.706002,0,0,0,0
Guam,GUM,Micronesia,2010,Oceania,5122.19827984698,33.5,19.492,1.8015692,0,0,0,0
Guatemala,GTM,Latin America and the Caribbean,2020,Americas,10947.3705618969,53.1,5.166,18.188286,1,0,0,0
