year,country,isocode,region,subregion,pib_per_capita,indice_gini,tasa_desempleo_joven,tasa_homicidio,dummy_outlier_tasa_homicidio,dummy_outlier_pib_per_capita,dummy_outlier_tasa_desempleo_joven,dummy_outlier_indice_gini
2010,Guam,GUM,Oceania,Micronesia,NA,NA,19.492,1.8015692,0,0,0,0
2020,Guatemala,GTM,Americas,Latin America and the Caribbean,10947.3705618969,NA,5.166,18.188286,1,0,0,0
2015,Guatemala,GTM,Americas,Latin America and the Caribbean,8934.00235466215,NA,5.581,NA,0,0,0,0
2010,Guatemala,GTM,Americas,Latin America and the Caribbean,6510.09980949963,NA,5.296,41.10313,1,0,0,0
2020,Guinea,GIN,Africa,Sub-Saharan Africa,3331.85663003801,NA,8.461,NA,0,0,0,0
2015,Guinea,GIN,Africa,Sub-Saharan Africa,1929.68091332187,NA,6.906,NA,0,0,0,0
2010,Guinea,GIN,Africa,Sub-Saharan Africa,1621.69161141242,NA,6.502,NA,0,0,0,0
2020,Guinea-Bissau,GNB,Africa,Sub-Saharan Africa,2310.37430731557,NA,2.764,NA,0,0,0,0
2015,Guinea-Bissau,GNB,Africa,Sub-Saharan Africa,1729.94260310123,NA,3.875,NA,0,0,0,0
2010,Guinea-Bissau,GNB,Africa,Sub-Saharan Africa,1369.68917066121,50.6,3.843,NA,0,0,0,0
